iter	RMSE
0	9.288877595
1	9.126456583
2	8.974779911
3	8.826901561
4	8.689883489
5	8.547499853
6	8.399556829
7	8.266574622
8	8.123448318
9	7.985249549
10	7.848316046
11	7.724351299
12	7.605309483
13	7.489700504
14	7.368433354
15	7.252439388
16	7.129718254
17	7.017188378
18	6.914455302
19	6.802323451
20	6.694083795
21	6.583441704
22	6.489381213
23	6.395208946
24	6.303430463
25	6.207865915
26	6.122445121
27	6.025182395
28	5.939893776
29	5.84498832
30	5.750966362
31	5.66183983
32	5.585818007
33	5.49737428
34	5.4198746
35	5.335920993
36	5.25604465
37	5.180417857
38	5.112851632
39	5.037200894
40	4.965713769
41	4.89584345
42	4.836820576
43	4.77095609
44	4.703102929
45	4.632863156
46	4.569623309
47	4.503256419
48	4.438779158
49	4.382630928
50	4.319397371
51	4.265200056
52	4.215132182
53	4.159360792
54	4.102901623
55	4.042791557
56	3.990799698
57	3.944155044
58	3.889755984
59	3.838344714
60	3.788381921
61	3.735650848
62	3.694340781
63	3.645700517
64	3.599379732
65	3.553922042
66	3.508331738
67	3.470626949
68	3.43185486
69	3.387483513
70	3.357189414
71	3.323360225
72	3.294850941
73	3.262153915
74	3.221707748
75	3.181766992
76	3.146157748
77	3.108507585
78	3.074831171
79	3.049444246
80	3.020794313
81	2.987199839
82	2.959824987
83	2.929822981
84	2.894532357
85	2.86642049
86	2.834044346
87	2.805579123
88	2.781574094
89	2.757365341
90	2.734323992
91	2.711272582
92	2.683815553
93	2.662034586
94	2.643618637
95	2.615680017
96	2.587499426
97	2.569827342
98	2.547701334
99	2.530180904
100	2.509367373
101	2.483672064
102	2.458679303
103	2.435525797
104	2.416288883
105	2.404800226
106	2.388883257
107	2.372316531
108	2.348827064
109	2.33203733
110	2.320574266
111	2.302074166
112	2.283848359
113	2.267677856
114	2.248438948
115	2.227998973
116	2.216134088
117	2.199414464
118	2.181308534
119	2.166662359
120	2.150608508
121	2.141316605
122	2.129621931
123	2.114404574
124	2.097331159
125	2.088426844
126	2.074028643
127	2.066245977
128	2.057505121
129	2.042975859
130	2.03119354
131	2.020212804
132	2.009065761
133	1.994473541
134	1.982240116
135	1.977629313
136	1.967713892
137	1.958686665
138	1.95248359
139	1.939767928
140	1.929722037
141	1.924380361
142	1.914930569
143	1.905164115
144	1.894166714
145	1.885449871
146	1.876929793
147	1.871469893
148	1.860382128
149	1.855422424
150	1.850851416
151	1.84211845
152	1.83754229
153	1.830508703
154	1.828068866
155	1.819857444
156	1.811377907
157	1.807188691
158	1.798583914
159	1.792031005
160	1.783867593
161	1.780094044
162	1.772399659
163	1.764843535
164	1.760941642
165	1.759253724
166	1.753434535
167	1.74727161
168	1.74179841
169	1.738740872
170	1.731491612
171	1.726352668
172	1.71944677
173	1.714785325
174	1.711196089
175	1.70674753
176	1.70376354
177	1.700701714
178	1.695025779
179	1.690633654
180	1.689106793
181	1.684319002
182	1.681593212
183	1.675779577
184	1.670084847
185	1.6664709
186	1.663878145
187	1.659636334
188	1.654753303
189	1.652696322
190	1.647752727
191	1.643441647
192	1.640099464
193	1.638546251
194	1.636261631
195	1.6336286
196	1.630518967
197	1.626207279
198	1.623413409
199	1.619652362
200	1.615950578
201	1.614447759
202	1.612791368
203	1.60989538
204	1.60742952
205	1.606243312
206	1.602496253
207	1.601489438
208	1.599775837
209	1.597062793
210	1.594409806
211	1.591847008
212	1.588520229
213	1.58582312
214	1.582360222
215	1.579273832
216	1.576719505
217	1.575438667
218	1.574876323
219	1.573112926
220	1.571705406
221	1.569607446
222	1.567156336
223	1.56592474
224	1.563507955
225	1.562715522
226	1.561660363
227	1.559793434
228	1.559316227
229	1.558641874
230	1.558153741
231	1.556899775
232	1.55468679
233	1.5526459
234	1.552348677
235	1.550311989
236	1.548018885
237	1.545833784
238	1.543943533
239	1.542748522
240	1.541099611
241	1.5396277
242	1.538731014
243	1.536862115
244	1.536387972
245	1.536191389
246	1.535526387
247	1.533685939
248	1.532601544
249	1.531972143
250	1.530386781
251	1.530222266
252	1.529483959
253	1.529063671
254	1.528833543
255	1.527476477
256	1.526581099
257	1.526359463
258	1.525938307
259	1.524579744
260	1.523249546
261	1.521878426
262	1.520419142
263	1.520045005
264	1.518939183
265	1.518777092
266	1.518486889
267	1.517347081
268	1.5162417
269	1.514923305
270	1.514539527
271	1.513581978
272	1.512364167
273	1.511206066
274	1.510610381
275	1.509230043
276	1.509140458
277	1.508358051
278	1.507937582
279	1.507231434
280	1.507149419
281	1.506739918
282	1.505728383
283	1.504603713
284	1.50375909
285	1.503274154
286	1.502354612
287	1.501485983
288	1.500743714
289	1.499972875
290	1.49964267
291	1.4986413
292	1.497659918
293	1.497358533
294	1.497162034
295	1.496312552
296	1.495556783
297	1.494576828
298	1.494367431
299	1.494130292
300	1.493747937
301	1.492809127
302	1.491758065
303	1.491686176
304	1.491175277
305	1.490786964
306	1.490737294
307	1.490002267
308	1.489759967
309	1.488959623
310	1.488130749
311	1.487586352
312	1.486938843
313	1.486379035
314	1.485891781
315	1.485130919
316	1.484313657
317	1.484087784
318	1.483574528
319	1.48286507
320	1.482639064
321	1.482143059
322	1.481296371
323	1.481069559
324	1.480336425
325	1.480152514
326	1.479374795
327	1.478684378
328	1.478156242
329	1.477557228
330	1.476913093
331	1.476200672
332	1.475484241
333	1.47471455
334	1.474154663
335	1.473582279
336	1.472987166
337	1.472557259
338	1.471964867
339	1.471161744
340	1.470461411
341	1.469935233
342	1.469781699
343	1.469370932
344	1.469225363
345	1.468793337
346	1.468763159
347	1.468106834
348	1.467876151
349	1.467474894
350	1.467099998
351	1.466581831
352	1.466189426
353	1.466006567
354	1.465312161
355	1.464969675
356	1.46449168
357	1.464440878
358	1.463885666
359	1.463391847
360	1.463116847
361	1.462773743
362	1.462474154
363	1.461922191
364	1.461411836
365	1.460911628
366	1.460658902
367	1.460327034
368	1.459948309
369	1.459531064
370	1.459163893
371	1.458792599
372	1.458433714
373	1.458116534
374	1.457885063
375	1.4576315
376	1.457272696
377	1.457160753
378	1.457112354
379	1.456687516
380	1.456480674
381	1.456025022
382	1.455819895
383	1.455559747
384	1.455177653
385	1.45490728
386	1.454543726
387	1.454275187
388	1.454054321
389	1.453951721
390	1.453667956
391	1.453257455
392	1.452981217
393	1.452955247
394	1.452558831
395	1.452296046
396	1.452135546
397	1.451825813
398	1.451608385
399	1.451388398
400	1.451071692
401	1.45081291
402	1.45056516
403	1.450246136
404	1.450004161
405	1.449690763
406	1.449453535
407	1.449417552
408	1.449226067
409	1.448959601
410	1.448815087
411	1.448484825
412	1.448161842
413	1.447942073
414	1.447672279
415	1.447476901
416	1.447273049
417	1.446978765
418	1.446722261
419	1.446427274
420	1.446222625
421	1.445980863
422	1.445729514
423	1.445500379
424	1.445301642
425	1.445094272
426	1.444835178
427	1.44455467
428	1.444317631
429	1.444130505
430	1.443885942
431	1.443755784
432	1.443526618
433	1.443204001
434	1.443027299
435	1.442845449
436	1.442667277
437	1.442521864
438	1.442309982
439	1.442084549
440	1.441912719
441	1.441745075
442	1.441597827
443	1.441439641
444	1.441232971
445	1.44101322
446	1.440827176
447	1.440631425
448	1.440444873
449	1.440265206
450	1.440080174
451	1.439928711
452	1.439733617
453	1.439511641
454	1.439344744
455	1.439153773
456	1.439131556
457	1.438907125
458	1.438726322
459	1.438530697
460	1.438408532
461	1.438276164
462	1.438120751
463	1.437962617
464	1.437832783
465	1.437699109
466	1.437568757
467	1.437459112
468	1.437339485
469	1.437226306
470	1.437112767
471	1.436999173
472	1.436870183
473	1.436757115
474	1.43661767
475	1.436488392
476	1.436302448
477	1.43620656
478	1.436038434
479	1.435921649
480	1.435759256
481	1.435646461
482	1.435522807
483	1.435366217
484	1.435228123
485	1.435121563
486	1.435034844
487	1.434928218
488	1.434829308
489	1.434737069
490	1.43463475
491	1.434526587
492	1.434423927
493	1.434298159
494	1.434200675
495	1.43410065
496	1.434006221
497	1.433903498
498	1.433811422
499	1.433718444
500	1.433629709
501	1.433515024
502	1.433421567
503	1.433297511
504	1.433242757
505	1.433158528
506	1.433013388
507	1.432878372
508	1.432801744
509	1.432662804
510	1.432547634
511	1.432481395
512	1.432353754
513	1.432234874
514	1.432107226
515	1.432040091
516	1.431954249
517	1.431840751
518	1.431757609
519	1.431696593
520	1.431630407
521	1.431504352
522	1.431421124
523	1.431325087
524	1.431214582
525	1.431128842
526	1.431055908
527	1.430936066
528	1.430838596
529	1.430764677
530	1.430696098
531	1.430583945
532	1.430517106
533	1.430450807
534	1.430377082
535	1.43027611
536	1.430219035
537	1.430137256
538	1.430048364
539	1.429975832
540	1.429909223
541	1.429843829
542	1.429766137
543	1.429698749
544	1.429637798
545	1.429562582
546	1.429488462
547	1.429424916
548	1.429356596
549	1.429301522
550	1.429217649
551	1.429142714
552	1.429080658
553	1.429022914
554	1.428939577
555	1.428885317
556	1.428787172
557	1.428719767
558	1.42867185
559	1.428614152
560	1.428571375
561	1.428477318
562	1.428385558
563	1.428327241
564	1.428265041
565	1.428199586
566	1.428131542
567	1.428077299
568	1.42803535
569	1.427916061
570	1.427839916
571	1.427785739
572	1.427714044
573	1.427638784
574	1.427579299
575	1.427501561
576	1.427454949
577	1.427408623
578	1.427336437
579	1.427277712
580	1.427217928
581	1.427139197
582	1.427073899
583	1.427011717
584	1.426968018
585	1.42692727
586	1.426886287
587	1.426844744
588	1.426786946
589	1.426747744
590	1.426692753
591	1.426645939
592	1.426593704
593	1.426553767
594	1.426502267
595	1.426455318
596	1.426403056
597	1.426360589
598	1.426304942
599	1.426267221
600	1.42621707
601	1.426172139
602	1.426135618
603	1.426079666
604	1.426045297
605	1.425998688
606	1.425950936
607	1.425911899
608	1.425861379
609	1.425812246
610	1.425778131
611	1.42572564
612	1.42567772
613	1.425615519
614	1.425575778
615	1.425530032
616	1.42548299
617	1.425446585
618	1.425412634
619	1.425377875
620	1.425311566
621	1.425276353
622	1.425245232
623	1.425203288
624	1.425169477
625	1.425119521
626	1.425090025
627	1.425034413
628	1.42500474
629	1.424971265
630	1.424936627
631	1.424897372
632	1.424874494
633	1.424845657
634	1.424806037
635	1.424779438
636	1.42473951
637	1.424700846
638	1.424647597
639	1.424602817
640	1.42457
641	1.424519736
642	1.424494541
643	1.424458651
644	1.424408041
645	1.424376089
646	1.424317693
647	1.424274852
648	1.424250138
649	1.424228968
650	1.424192296
651	1.424154044
652	1.42413088
653	1.424064551
654	1.42400949
655	1.423983232
656	1.423950929
657	1.423918818
658	1.423880601
659	1.423842889
660	1.423818285
661	1.42378529
662	1.423740667
663	1.423691089
664	1.423658166
665	1.423609991
666	1.42357653
667	1.423526932
668	1.423504262
669	1.423478546
670	1.423436946
671	1.423390815
672	1.423360732
673	1.423320791
674	1.423293526
675	1.423244852
676	1.42321697
677	1.423179176
678	1.423148251
679	1.423122035
680	1.423089867
681	1.42307222
682	1.423032157
683	1.423003691
684	1.422959726
685	1.422923145
686	1.422901801
687	1.422874122
688	1.422852499
689	1.42281707
690	1.42279057
691	1.422775755
692	1.422750463
693	1.422730476
694	1.422692967
695	1.422674596
696	1.422650736
697	1.42262622
698	1.422597108
699	1.422578433
700	1.422556811
701	1.422536102
702	1.422517582
703	1.422485017
704	1.422467842
705	1.422451063
706	1.422432175
707	1.422418012
708	1.422393842
709	1.422359687
710	1.42233227
711	1.422310474
712	1.422286626
713	1.422260916
714	1.422235336
715	1.422219516
716	1.4222023
717	1.422165048
718	1.42213587
719	1.422122012
720	1.422107143
721	1.422077134
722	1.422056
723	1.422035415
724	1.422010289
725	1.421997186
726	1.421968359
727	1.421949364
728	1.421931229
729	1.421900154
730	1.421876002
731	1.421845328
732	1.421828618
733	1.421809737
734	1.421778402
735	1.421763992
736	1.421752265
737	1.421738726
738	1.421715196
739	1.421699683
740	1.421684043
741	1.421667619
742	1.421654532
743	1.421641428
744	1.421630198
745	1.42161098
746	1.421596159
747	1.421581752
748	1.421563356
749	1.421529717
750	1.421503901
751	1.421486759
752	1.42147502
753	1.421461476
754	1.421434433
755	1.421422095
756	1.421410901
757	1.421386521
758	1.421351897
759	1.421331804
760	1.421308059
761	1.421285896
762	1.421259948
763	1.421247344
764	1.421216166
765	1.421191161
766	1.421170756
767	1.421153586
768	1.421132916
769	1.421123404
770	1.421094403
771	1.42107429
772	1.421054637
773	1.421032395
774	1.421015225
775	1.420995903
776	1.420973533
777	1.420964611
778	1.420948848
779	1.420946677
780	1.4209277
781	1.420907766
782	1.420896849
783	1.42087756
784	1.420866224
785	1.420857894
786	1.42083996
787	1.42082814
788	1.420816827
789	1.420797614
790	1.420773625
791	1.42075375
792	1.420741289
793	1.420721735
794	1.420708107
795	1.420689736
796	1.420680554
797	1.420669401
798	1.420653501
799	1.420630701
800	1.420614317
801	1.420599374
802	1.420583472
803	1.420571642
804	1.420562814
805	1.420546748
806	1.420534175
807	1.420520146
808	1.420505851
809	1.420498147
810	1.42046974
811	1.420443902
812	1.420429948
813	1.420422882
814	1.420411184
815	1.420395149
816	1.420380332
817	1.420372542
818	1.420361291
819	1.420339241
820	1.420323875
821	1.420314693
822	1.420303678
823	1.420283532
824	1.420276118
825	1.420266999
826	1.420258538
827	1.420246777
828	1.420234076
829	1.420224493
830	1.420213481
831	1.420202785
832	1.420183035
833	1.420176723
834	1.420169715
835	1.420150863
836	1.420138603
837	1.420129728
838	1.420117768
839	1.420109174
840	1.420098916
841	1.420089636
842	1.420078507
843	1.420055162
844	1.420038759
845	1.420030062
846	1.420009625
847	1.420003087
848	1.419984058
849	1.419973804
850	1.419965951
851	1.419955078
852	1.419948243
853	1.419945684
854	1.419938505
855	1.419926798
856	1.41991741
857	1.419910897
858	1.419898009
859	1.419886648
860	1.419877054
861	1.419867928
862	1.419862248
863	1.419853997
864	1.41983641
865	1.419830563
866	1.419821078
867	1.419814751
868	1.419809399
869	1.419801511
870	1.419790257
871	1.419785013
872	1.419769418
873	1.419760143
874	1.419743977
875	1.419736696
876	1.419730686
877	1.419726282
878	1.419721267
879	1.4197125
880	1.419705424
881	1.41969002
882	1.419681824
883	1.41967164
884	1.419661512
885	1.419642885
886	1.41963668
887	1.419621559
888	1.4196158
889	1.419609166
890	1.419601224
891	1.419589977
892	1.419578222
893	1.419570292
894	1.419563989
895	1.419546678
896	1.419534798
897	1.419529385
898	1.419518132
899	1.41951052
900	1.419496347
901	1.419487498
902	1.419483951
903	1.419471294
904	1.419458084
905	1.419453093
906	1.419444845
907	1.419439976
908	1.419436073
909	1.419429841
910	1.419416759
911	1.419411127
912	1.419397726
913	1.419390923
914	1.419385148
915	1.419380164
916	1.41937542
917	1.41936778
918	1.41935912
919	1.419350788
920	1.419346915
921	1.419340156
922	1.41933258
923	1.419330681
924	1.419322042
925	1.419316497
926	1.419310726
927	1.419304258
928	1.419301443
929	1.419290508
930	1.419283634
931	1.419276152
932	1.419262039
933	1.419257383
934	1.419253289
935	1.419242858
936	1.419238134
937	1.419231167
938	1.419222237
939	1.419215503
940	1.419206894
941	1.419201192
942	1.4191976
943	1.419190756
944	1.419180112
945	1.419172813
946	1.41916607
947	1.419157179
948	1.419151836
949	1.419143329
950	1.419139076
951	1.419135218
952	1.419128876
953	1.419125152
954	1.419118601
955	1.419114494
956	1.419108588
957	1.419104566
958	1.419093078
959	1.419082098
960	1.419074547
961	1.419069771
962	1.419063506
963	1.419051972
964	1.419046561
965	1.419040829
966	1.41903794
967	1.419033798
968	1.419028141
969	1.419023755
970	1.419020754
971	1.419015475
972	1.419010237
973	1.419004278
974	1.4189997
975	1.418989271
976	1.418984322
977	1.418979616
978	1.418972564
979	1.418962964
980	1.418953141
981	1.418949584
982	1.418943162
983	1.41893775
984	1.418932545
